Date : 2023-12-05 15:18:24
Directory : d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil
Total : 93 files,  5905 codes, 428 comments, 684 blanks, all 7017 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Dart            |         44 |      4,376 |        152 |        405 |      4,933 |
| C++             |         16 |        545 |        121 |        182 |        848 |
| XML             |         13 |        486 |         48 |         14 |        548 |
| JSON            |          4 |        248 |          0 |          4 |        252 |
| Gradle          |          3 |         90 |          5 |         22 |        117 |
| Swift           |          6 |         58 |          7 |         20 |         85 |
| YAML            |          2 |         43 |         79 |         20 |        142 |
| HTML            |          1 |         38 |         16 |          6 |         60 |
| Markdown        |          2 |         13 |          0 |          9 |         22 |
| Java Properties |          2 |          8 |          0 |          2 |         10 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                               | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                  |         93 |      5,905 |        428 |        684 |      7,017 |
| . (Files)                                                                                                                                                                          |          3 |         53 |         79 |         27 |        159 |
| android                                                                                                                                                                            |         12 |        159 |         51 |         33 |        243 |
| android (Files)                                                                                                                                                                    |          3 |         38 |          0 |         10 |         48 |
| android\app                                                                                                                                                                        |          8 |        116 |         51 |         22 |        189 |
| android\app (Files)                                                                                                                                                                |          1 |         55 |          5 |         13 |         73 |
| android\app\src                                                                                                                                                                    |          7 |         61 |         46 |          9 |        116 |
| android\app\src\debug                                                                                                                                                              |          1 |          3 |          4 |          1 |          8 |
| android\app\src\main                                                                                                                                                               |          5 |         55 |         38 |          7 |        100 |
| android\app\src\main (Files)                                                                                                                                                       |          1 |         29 |          6 |          1 |         36 |
| android\app\src\main\res                                                                                                                                                           |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                                                                                                                  |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                                                                                                              |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                                                                                                    |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                                                                                                              |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                                                                                            |          1 |          3 |          4 |          1 |          8 |
| android\gradle                                                                                                                                                                     |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                                                                                                             |          1 |          5 |          0 |          1 |          6 |
| assets                                                                                                                                                                             |          3 |         21 |          0 |          2 |         23 |
| ios                                                                                                                                                                                |          8 |        229 |          4 |         13 |        246 |
| ios\Runner                                                                                                                                                                         |          7 |        222 |          2 |          9 |        233 |
| ios\Runner (Files)                                                                                                                                                                 |          2 |         13 |          0 |          3 |         16 |
| ios\RunnerTests                                                                                                                                                                    |          1 |          7 |          2 |          4 |         13 |
| ios\Runner\Assets.xcassets                                                                                                                                                         |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                                                                                      |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                                                                                    |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                                                                                              |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                                                                                                |         44 |      4,376 |        152 |        405 |      4,933 |
| lib (Files)                                                                                                                                                                        |          1 |        110 |          1 |          5 |        116 |
| lib\config                                                                                                                                                                         |          5 |        108 |         10 |         17 |        135 |
| lib\config\constants                                                                                                                                                               |          1 |         20 |          3 |          4 |         27 |
| lib\config\theme                                                                                                                                                                   |          4 |         88 |          7 |         13 |        108 |
| lib\models                                                                                                                                                                         |          4 |         74 |          0 |         10 |         84 |
| lib\presentation                                                                                                                                                                   |          5 |      1,122 |         54 |         98 |      1,274 |
| lib\presentation\screens                                                                                                                                                           |          5 |      1,122 |         54 |         98 |      1,274 |
| lib\presentation\screens\user_information                                                                                                                                          |          5 |      1,122 |         54 |         98 |      1,274 |
| lib\services                                                                                                                                                                       |          4 |        459 |         14 |         64 |        537 |
| lib\views                                                                                                                                                                          |         25 |      2,503 |         73 |        211 |      2,787 |
| lib\views\auth                                                                                                                                                                     |          5 |        948 |          5 |         55 |      1,008 |
| lib\views\chat                                                                                                                                                                     |          9 |        695 |         45 |         63 |        803 |
| lib\views\interfaces                                                                                                                                                               |          2 |         33 |          2 |          7 |         42 |
| lib\views\screens                                                                                                                                                                  |          4 |        637 |         20 |         59 |        716 |
| lib\views\widgets                                                                                                                                                                  |          5 |        190 |          1 |         27 |        218 |
| linux                                                                                                                                                                              |          5 |        102 |         27 |         38 |        167 |
| linux (Files)                                                                                                                                                                      |          3 |         86 |         18 |         27 |        131 |
| linux\flutter                                                                                                                                                                      |          2 |         16 |          9 |         11 |         36 |
| macos                                                                                                                                                                              |          6 |        450 |          5 |         16 |        471 |
| macos\Flutter                                                                                                                                                                      |          1 |         12 |          3 |          4 |         19 |
| macos\Runner                                                                                                                                                                       |          4 |        431 |          0 |          8 |        439 |
| macos\Runner (Files)                                                                                                                                                               |          2 |         20 |          0 |          6 |         26 |
| macos\RunnerTests                                                                                                                                                                  |          1 |          7 |          2 |          4 |         13 |
| macos\Runner\Assets.xcassets                                                                                                                                                       |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Assets.xcassets\AppIcon.appiconset                                                                                                                                    |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Base.lproj                                                                                                                                                            |          1 |        343 |          0 |          1 |        344 |
| web                                                                                                                                                                                |          2 |         73 |         16 |          7 |         96 |
| windows                                                                                                                                                                            |         10 |        442 |         94 |        143 |        679 |
| windows\flutter                                                                                                                                                                    |          2 |         14 |          9 |         11 |         34 |
| windows\runner                                                                                                                                                                     |          8 |        428 |         85 |        132 |        645 |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| filename                                                                                                                                                                           | language        | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\README.md                                                                   | Markdown        |         10 |          0 |          7 |         17 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\analysis_options.yaml                                                       | YAML            |          3 |         23 |          4 |         30 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\android\app\build.gradle                                                    | Gradle          |         55 |          5 |         13 |         73 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\android\app\src\debug\AndroidManifest.xml                                   | XML             |          3 |          4 |          1 |          8 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\android\app\src\main\AndroidManifest.xml                                    | XML             |         29 |          6 |          1 |         36 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\android\app\src\main\res\drawable-v21\launch_background.xml                 | XML             |          4 |          7 |          2 |         13 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\android\app\src\main\res\drawable\launch_background.xml                     | XML             |          4 |          7 |          2 |         13 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\android\app\src\main\res\values-night\styles.xml                            | XML             |          9 |          9 |          1 |         19 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\android\app\src\main\res\values\styles.xml                                  | XML             |          9 |          9 |          1 |         19 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\android\app\src\profile\AndroidManifest.xml                                 | XML             |          3 |          4 |          1 |          8 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\android\build.gradle                                                        | Gradle          |         27 |          0 |          5 |         32 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\android\gradle.properties                                                   | Java Properties |          3 |          0 |          1 |          4 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\android\gradle\wrapper\gradle-wrapper.properties                            | Java Properties |          5 |          0 |          1 |          6 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\android\settings.gradle                                                     | Gradle          |          8 |          0 |          4 |         12 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\assets\info.svg                                                             | XML             |          9 |          0 |          1 |         10 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\assets\language.svg                                                         | XML             |          1 |          0 |          0 |          1 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\assets\smile.svg                                                            | XML             |         11 |          0 |          1 |         12 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\ios\RunnerTests\RunnerTests.swift                                           | Swift           |          7 |          2 |          4 |         13 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\ios\Runner\AppDelegate.swift                                                | Swift           |         12 |          0 |          2 |         14 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json                 | JSON            |        122 |          0 |          1 |        123 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json               | JSON            |         23 |          0 |          1 |         24 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md                   | Markdown        |          3 |          0 |          2 |          5 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\ios\Runner\Base.lproj\LaunchScreen.storyboard                               | XML             |         36 |          1 |          1 |         38 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\ios\Runner\Base.lproj\Main.storyboard                                       | XML             |         25 |          1 |          1 |         27 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\ios\Runner\Runner-Bridging-Header.h                                         | C++             |          1 |          0 |          1 |          2 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\config\constants\api_routes.dart                                        | Dart            |         20 |          3 |          4 |         27 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\config\theme\app_colors.dart                                            | Dart            |         17 |          1 |          2 |         20 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\config\theme\app_fonts.dart                                             | Dart            |         34 |          4 |          2 |         40 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\config\theme\app_text_style.dart                                        | Dart            |         14 |          1 |          2 |         17 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\config\theme\app_theme.dart                                             | Dart            |         23 |          1 |          7 |         31 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\main.dart                                                               | Dart            |        110 |          1 |          5 |        116 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\models\api_response.dart                                                | Dart            |          4 |          0 |          0 |          4 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\models\chat.dart                                                        | Dart            |          9 |          0 |          3 |         12 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\models\contact.dart                                                     | Dart            |         15 |          0 |          3 |         18 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\models\user.dart                                                        | Dart            |         46 |          0 |          4 |         50 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\presentation\screens\user_information\edit_profile_screen.dart          | Dart            |        384 |         11 |         31 |        426 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\presentation\screens\user_information\information_interests_screen.dart | Dart            |        147 |          3 |         16 |        166 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\presentation\screens\user_information\information_state_screen.dart     | Dart            |        206 |          5 |         19 |        230 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\presentation\screens\user_information\user_information.dart             | Dart            |        110 |          1 |         14 |        125 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\presentation\screens\user_information\view_profile_screen.dart          | Dart            |        275 |         34 |         18 |        327 |
| d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\movil-sin-union-devChristian\picspeak_movil\lib\services\api.dart                                                       | Dart            |         45 |          1 |          7 |         53 |
